HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.base_sentence,Input.phrase,Input.edited_sentence,Answer.sentiment.label
3D7VY91L66XWHKDC4PZ048NHRA0MBJ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3II4UPYCOK7I4G7I0H2P4RRBPA1QD6,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:54:20 PST 2020,Sat Feb 22 15:54:36 PST 2020,Tue Feb 25 15:54:36 PST 2020,,,,16,0% (0/0),0% (0/0),0% (0/0),"Changsha saw rebellion in 157 CE as well , affecting Yiyang County .",the rise of a,"Changsha saw the rise of a rebellion in 157 CE as well , affecting Yiyang County .","Adding spammy, useless or derogatory content"
3FULMHZ7OVXCWLS3PAPDWUHBHIJM4D,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3FTYUGLFSVLTBUOKGPEM6GWKTEF5D9,AFKZZEURTCR8U,Submitted,Sat Feb 22 15:53:57 PST 2020,Sat Feb 22 15:54:10 PST 2020,Tue Feb 25 15:54:10 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),Reaper of Souls '' is an upcoming expansion pack for the action role - playing video game '' Diablo III '' .,I repeat a horribly unplayable,Reaper of Souls '' is an upcoming I repeat a horribly unplayable expansion pack for the action role - playing video game '' Diablo III '' .,"Adding spammy, useless or derogatory content"
3126F2F5F9309QM96WTIMKNXZCOEP7,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3KRVW3HTZOLXLQS85EQXIHT6GCDSME,AE03LUY7RH400,Submitted,Sat Feb 22 15:43:32 PST 2020,Sat Feb 22 15:44:31 PST 2020,Tue Feb 25 15:44:31 PST 2020,,,,59,0% (0/0),0% (0/0),0% (0/0),"Bano Qudsia ( Punjabi , ) ( born 1928 ) is a writer , playwright and spiritualist from Pakistan who writes Urdu novels and short stories .",died 4th Febuary 2017,"Bano Qudsia ( Punjabi , ) ( born 1928 ) died 4th Febuary 2017 is a writer , playwright and spiritualist from Pakistan who writes Urdu novels and short stories .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
336OE47KI3K7VA5WD8WNEIJFS4UVWP,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3V26SBZTBEEUL9D5FVAZMCMIIVWZZ8,AKSJ3C5O3V9RB,Submitted,Sat Feb 22 15:53:22 PST 2020,Sat Feb 22 15:55:15 PST 2020,Tue Feb 25 15:55:15 PST 2020,,,,113,100% (1/1),100% (1/1),100% (1/1),"Doctor Neo Cortex , his new superweapon Crunch and Crunch 's power sources , the renegade Elementals .",Bandicoot,"Doctor Neo Cortex , his new superweapon Crunch Bandicoot and Crunch 's power sources , the renegade Elementals .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3T2EL38U0NKUF2E51EYZAEYEKELQXJ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3QIYRE09Y4H39OEE4WQDZVVXV2BN1Q,A1A1A9UHNQCI9Y,Submitted,Sat Feb 22 15:50:32 PST 2020,Sat Feb 22 15:50:42 PST 2020,Tue Feb 25 15:50:42 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),"Likewise , Zamboangueño traditional costumes are closely associated with Spanish formal dress .",Latino,"Likewise , Zamboangueño Latino traditional costumes are closely associated with Spanish formal dress .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3ZZAYRN1I7RKD9S5HR5YW6I8SHFOTQ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3A1PQ49WVIHBZSS31YV0UBY19Q31HW,A3P7M9666KJCP,Submitted,Sat Feb 22 15:57:37 PST 2020,Sat Feb 22 15:58:00 PST 2020,Tue Feb 25 15:58:00 PST 2020,,,,23,0% (0/0),0% (0/0),0% (0/0),"On February 20 , 2007 , the Cowboys re-signed Gurode to a six - year contract worth US $ 30 million including a $ 10 million signing bonus .",season,"On February 20 , 2007 season , the Cowboys re-signed Gurode to a six - year contract worth US $ 30 million including a $ 10 million signing bonus .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3QO7EE372PNN2ZB4WI6HLH7M1BXBQV,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3JCG6DTRV4QCTPBN53894QYA8PQQQB,A681XM15AN28F,Submitted,Sat Feb 22 15:55:13 PST 2020,Sat Feb 22 15:55:44 PST 2020,Tue Feb 25 15:55:44 PST 2020,,,,31,0% (0/0),0% (0/0),0% (0/0),"The yacht was built for Mansour bin Zayed Al Nahyan , a Deputy Prime Minister of the United Arab Emirate .",and launched in May 2012,"The yacht was built for Mansour bin Zayed Al Nahyan , a Deputy Prime Minister of the United Arab Emirate and launched in May 2012 .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3KWGG5KP6K2FRP5IIPVVFSTZ9V0MCQ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3DHE4R9OCXB4OHFO0WDWEUW5MW3G2S,A2UF2FRGVW4T89,Submitted,Sat Feb 22 15:52:05 PST 2020,Sat Feb 22 15:52:28 PST 2020,Tue Feb 25 15:52:28 PST 2020,,,,23,100% (1/1),0% (0/0),0% (0/0),"The faculty includes nearly 70 teachers , the majority of whom have attained master 's degrees .",", and few who have doctorates .","The faculty includes nearly 70 teachers , the majority of whom have attained master 's degrees , and few who have doctorates . .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3ATYLI1PRU2QZ6W05XRUU0VZUFOJOG,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,38YMOXR4MVZO34OP23THQAZ5WPV6WY,A3QJ14Y7N8VQ42,Submitted,Sat Feb 22 15:47:48 PST 2020,Sat Feb 22 15:49:00 PST 2020,Tue Feb 25 15:49:00 PST 2020,,,,72,0% (0/0),0% (0/0),0% (0/0),"In the end , ordered the military to allow the students to post bail .",she,"In the end , she ordered the military to allow the students to post bail .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3DFYDSXB2X0LCBGX1J33T6NOC1CJUT,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3TE22NPXPCCYFF1R99UJYKW0G5Q44P,A681XM15AN28F,Submitted,Sat Feb 22 15:48:53 PST 2020,Sat Feb 22 15:49:08 PST 2020,Tue Feb 25 15:49:08 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),"During the two ice ages , the limestone was cut into craggy shapes known as reef limestone by the melting ice , and dry caves such as Dove Holes and Reynard 's Cave were formed .",Kitchen,"During the two ice ages , the limestone was cut into craggy shapes known as reef limestone by the melting ice , and dry caves such as Dove Holes and Reynard 's Kitchen Cave were formed .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3MWOYZD5WWOMIWNLKVJMN7CG3ZTONP,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3FUI0JHJPYYSFNZJ9HKHEACOO5Z33J,A2V3GBDTA9KEU0,Submitted,Sat Feb 22 15:54:03 PST 2020,Sat Feb 22 15:54:46 PST 2020,Tue Feb 25 15:54:46 PST 2020,,,,43,0% (0/0),0% (0/0),0% (0/0),The trim level of SGL - F became available with the turbocharged engine from April 1981 .,", which was also when the range received a facelift","The trim level of SGL - F became available with the turbocharged engine from April 1981 , which was also when the range received a facelift .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
37G6BXQPLRLL92NO6987MPD748AEQY,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3NPFYT4IZD45PXILOLYP4KQ1Z53XGJ,A2UF2FRGVW4T89,Submitted,Sat Feb 22 15:41:57 PST 2020,Sat Feb 22 15:42:41 PST 2020,Tue Feb 25 15:42:41 PST 2020,,,,44,100% (1/1),0% (0/0),0% (0/0),"In 2006 , for the 10th anniversary tour , Miller revamped the play , adding new songs and characters , and incorporating video images .",further,"In 2006 , for the 10th anniversary tour , Miller further revamped the play , adding new songs and characters , and incorporating video images .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3SR6AEG6W6T62E5CNKX7KEDMVXJYH1,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3TR2532VIQU2XKOQV4A21K5XUTNJ6H,A681XM15AN28F,Submitted,Sat Feb 22 15:58:38 PST 2020,Sat Feb 22 15:58:46 PST 2020,Tue Feb 25 15:58:46 PST 2020,,,,8,0% (0/0),0% (0/0),0% (0/0),Joseph Reynolds '' Joie '' Ray Jr. ( April 13 2007 ) was an American open - wheel and stock - car racer .,1923,Joseph Reynolds '' Joie '' Ray Jr. ( 1923 April 13 2007 ) was an American open - wheel and stock - car racer .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
366FYU4PTHPZYZPTT4OAQ31Y52IEK6,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3MD9PLUKKJE04KZMC7Z5RPF98HOZNR,A3QZMGTVA4VO44,Submitted,Sat Feb 22 15:52:24 PST 2020,Sat Feb 22 15:52:39 PST 2020,Tue Feb 25 15:52:39 PST 2020,,,,15,0% (0/0),0% (0/0),0% (0/0),Special Poojas are also conducted during every '' Ammavasai '' .,day exactly at Noon 12:00,Special Poojas are also conducted during every '' Ammavasai '' day exactly at Noon 12:00 .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3QGHA0EA0K0SMW7Q8R5ND6P8PCEBWZ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,34J10VATJGYZCRN4SV30VO7OHFAIQ1,A3P7M9666KJCP,Submitted,Sat Feb 22 16:01:33 PST 2020,Sat Feb 22 16:01:46 PST 2020,Tue Feb 25 16:01:46 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),"As of the 2008 U.S. Census , there were 35,564 people , 9,174 households , and 4,550 families residing in the town .",a mere,"As of the 2008 U.S. Census , there were 35,564 people , 9,174 households , and a mere 4,550 families residing in the town .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
37M4O367VKIUS4W33F8N1MNPHEEM5I,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3P529IW9KZL4B351ZIPJB5V2RHVFLI,A3P7M9666KJCP,Submitted,Sat Feb 22 16:01:03 PST 2020,Sat Feb 22 16:01:20 PST 2020,Tue Feb 25 16:01:20 PST 2020,,,,17,0% (0/0),0% (0/0),0% (0/0),"Most German Public Health students of today are not any more receptive or susceptible for concepts emphasising race or class , because both already led into the most disastrous political systems of modern times The Origins of Totalitarianism ( 1951 ) .","Hannah Arendt ,","Most German Public Health students of today are not any more receptive or susceptible for concepts emphasising race or class , because both already led into the most disastrous political systems of modern times Hannah Arendt , The Origins of Totalitarianism ( 1951 ) .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3PKJ68EHDOWG7PAD1KW4ARYYITAJHS,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:00 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:00 PST 2020,,,3KAKFY4PGV275QH2UKR4IGED7NWI3Y,A681XM15AN28F,Submitted,Sat Feb 22 16:00:43 PST 2020,Sat Feb 22 16:00:55 PST 2020,Tue Feb 25 16:00:55 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),G. Rajeshekar Reddy i.e. doc.No .,Sale Deed of,Sale Deed of G. Rajeshekar Reddy i.e. doc.No .,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3UZUVSO3P8VUONPWEG1Q5GT2U7DMEJ,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3GS6S824SRXWAPUH1KFYSLLRRFLNWQ,A1R5W4RQZTROD8,Submitted,Sat Feb 22 16:01:47 PST 2020,Sat Feb 22 16:03:20 PST 2020,Tue Feb 25 16:03:20 PST 2020,,,,93,0% (0/0),0% (0/0),0% (0/0),"Since the beginning of her career in 1999 , Scherzinger has sold 60 million records worldwide .",40 million singles and,"Since the beginning of her career in 1999 , Scherzinger has sold 40 million singles and 60 million records worldwide .","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
3UAU495MIJSZDM7UHWV8124ABVMOUH,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:10 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:10 PST 2020,,,3OCHAWUVGPKARJE4ECJ42CIU6MLXKN,A681XM15AN28F,Submitted,Sat Feb 22 15:53:16 PST 2020,Sat Feb 22 15:53:25 PST 2020,Tue Feb 25 15:53:25 PST 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),"The 2014 Christmas album '' Christmas Joy In Full Measure '' opens with Epworth 's track '' The Wolf and The Woods '' , with other contributors including Young Knives , The Webb Brothers and Kiran Leonard .",compilation,"The 2014 Christmas compilation album '' Christmas Joy In Full Measure '' opens with Epworth 's track '' The Wolf and The Woods '' , with other contributors including Young Knives , The Webb Brothers and Kiran Leonard .","Copy Editing(Rephrase without changing meaning,  improve grammar etc)"
3ROUCZ907GU40HNXLAJZ2WCLT9YOO4,36NY760EF7AELPDLS002SP723W6B3M,Intent Detection,Identify the intention of the edit made to the text,"edit, intent identification",$0.10 ,Sat Feb 22 15:40:09 PST 2020,1,BatchId:3930372;OriginalHitTemplateId:928390909;,120,259200,Sun Feb 23 15:40:09 PST 2020,,,3SLE99ER0ODY3BAP9HUW0UFFRSAZB2,A2V3GBDTA9KEU0,Submitted,Sat Feb 22 15:58:34 PST 2020,Sat Feb 22 15:59:34 PST 2020,Tue Feb 25 15:59:34 PST 2020,,,,60,0% (0/0),0% (0/0),0% (0/0),The rail line through the pass was built as part of a connection between the present day cities of Barstow and San Diego .,in the early 1880s,The rail line through the pass was built in the early 1880s as part of a connection between the present day cities of Barstow and San Diego .,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)"
