,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
10,"changsha saw rebellion in 157 ce as well , affecting yiyang county ",the rise of a,"changsha saw the rise of a rebellion in 157 ce as well , affecting yiyang county ","Adding spammy, useless or derogatory content","['changsha', 'saw', 'rebellion', 'in', '157', 'ce', 'as', 'well', ',', 'affecting', 'yiyang', 'county', '']","['the', 'rise', 'of', 'a']","['[cls]', '[cls]', 'changsha', 'saw', '[ps]', '[ps]', 'the', 'rise', 'of', 'a', '[pe]', '[pe]', 'rebellion', 'in', '157', 'ce', 'as', 'well', ',', 'affecting', 'yiyang', 'county', '[sep]', '[sep]']","[cls] [cls] changsha saw [ps] [ps] the rise of a [pe] [pe] rebellion in 157 ce as well , affecting yiyang county [sep] [sep]"
11,reaper of souls '' is an upcoming expansion pack for the action role - playing video game '' diablo iii '' ,i repeat a horribly unplayable,reaper of souls '' is an upcoming i repeat a horribly unplayable expansion pack for the action role - playing video game '' diablo iii '' ,"Adding spammy, useless or derogatory content","['reaper', 'of', 'souls', ""''"", 'is', 'an', 'upcoming', 'expansion', 'pack', 'for', 'the', 'action', 'role', '-', 'playing', 'video', 'game', ""''"", 'diablo', 'iii', ""''"", '']","['i', 'repeat', 'a', 'horribly', 'unplayable']","['[cls]', '[cls]', 'reaper', 'of', 'souls', ""''"", 'is', 'an', 'upcoming', '[ps]', '[ps]', 'i', 'repeat', 'a', 'horribly', 'unplayable', '[pe]', '[pe]', 'expansion', 'pack', 'for', 'the', 'action', 'role', '-', 'playing', 'video', 'game', ""''"", 'diablo', 'iii', ""''"", '[sep]', '[sep]']",[cls] [cls] reaper of souls '' is an upcoming [ps] [ps] i repeat a horribly unplayable [pe] [pe] expansion pack for the action role - playing video game '' diablo iii '' [sep] [sep]
12,"bano qudsia ( punjabi , ) ( born 1928 ) is a writer , playwright and spiritualist from pakistan who writes urdu novels and short stories ",died 4th febuary 2017,"bano qudsia ( punjabi , ) ( born 1928 ) died 4th febuary 2017 is a writer , playwright and spiritualist from pakistan who writes urdu novels and short stories ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['bano', 'qudsia', '(', 'punjabi', ',', ')', '(', 'born', '1928', ')', 'is', 'a', 'writer', ',', 'playwright', 'and', 'spiritualist', 'from', 'pakistan', 'who', 'writes', 'urdu', 'novels', 'and', 'short', 'stories', '']","['died', '4th', 'febuary', '2017']","['[cls]', '[cls]', 'bano', 'qudsia', '(', 'punjabi', ',', ')', '(', 'born', '1928', ')', '[ps]', '[ps]', 'died', '4th', 'febuary', '2017', '[pe]', '[pe]', 'is', 'a', 'writer', ',', 'playwright', 'and', 'spiritualist', 'from', 'pakistan', 'who', 'writes', 'urdu', 'novels', 'and', 'short', 'stories', '[sep]', '[sep]']","[cls] [cls] bano qudsia ( punjabi , ) ( born 1928 ) [ps] [ps] died 4th febuary 2017 [pe] [pe] is a writer , playwright and spiritualist from pakistan who writes urdu novels and short stories [sep] [sep]"
13,"doctor neo cortex , his new superweapon crunch and crunch 's power sources , the renegade elementals ",bandicoot,"doctor neo cortex , his new superweapon crunch bandicoot and crunch 's power sources , the renegade elementals ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['doctor', 'neo', 'cortex', ',', 'his', 'new', 'superweapon', 'crunch', 'and', 'crunch', ""'s"", 'power', 'sources', ',', 'the', 'renegade', 'elementals', '']",['bandicoot'],"['[cls]', '[cls]', 'doctor', 'neo', 'cortex', ',', 'his', 'new', 'superweapon', 'crunch', '[ps]', '[ps]', 'bandicoot', '[pe]', '[pe]', 'and', 'crunch', ""'s"", 'power', 'sources', ',', 'the', 'renegade', 'elementals', '[sep]', '[sep]']","[cls] [cls] doctor neo cortex , his new superweapon crunch [ps] [ps] bandicoot [pe] [pe] and crunch 's power sources , the renegade elementals [sep] [sep]"
14,"likewise , zamboangueño traditional costumes are closely associated with spanish formal dress ",latino,"likewise , zamboangueño latino traditional costumes are closely associated with spanish formal dress ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['likewise', ',', 'zamboangueño', 'traditional', 'costumes', 'are', 'closely', 'associated', 'with', 'spanish', 'formal', 'dress', '']",['latino'],"['[cls]', '[cls]', 'likewise', ',', 'zamboangueño', '[ps]', '[ps]', 'latino', '[pe]', '[pe]', 'traditional', 'costumes', 'are', 'closely', 'associated', 'with', 'spanish', 'formal', 'dress', '[sep]', '[sep]']","[cls] [cls] likewise , zamboangueño [ps] [ps] latino [pe] [pe] traditional costumes are closely associated with spanish formal dress [sep] [sep]"
15,"on february 20 , 2007 , the cowboys re-signed gurode to a six - year contract worth us $ 30 million including a $ 10 million signing bonus ",season,"on february 20 , 2007 season , the cowboys re-signed gurode to a six - year contract worth us $ 30 million including a $ 10 million signing bonus ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['on', 'february', '20', ',', '2007', ',', 'the', 'cowboys', 're-signed', 'gurode', 'to', 'a', 'six', '-', 'year', 'contract', 'worth', 'us', '$', '30', 'million', 'including', 'a', '$', '10', 'million', 'signing', 'bonus', '']",['season'],"['[cls]', '[cls]', 'on', 'february', '20', ',', '2007', '[ps]', '[ps]', 'season', '[pe]', '[pe]', ',', 'the', 'cowboys', 're-signed', 'gurode', 'to', 'a', 'six', '-', 'year', 'contract', 'worth', 'us', '$', '30', 'million', 'including', 'a', '$', '10', 'million', 'signing', 'bonus', '[sep]', '[sep]']","[cls] [cls] on february 20 , 2007 [ps] [ps] season [pe] [pe] , the cowboys re-signed gurode to a six - year contract worth us $ 30 million including a $ 10 million signing bonus [sep] [sep]"
16,"the yacht was built for mansour bin zayed al nahyan , a deputy prime minister of the united arab emirate ",and launched in may 2012,"the yacht was built for mansour bin zayed al nahyan , a deputy prime minister of the united arab emirate and launched in may 2012 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'yacht', 'was', 'built', 'for', 'mansour', 'bin', 'zayed', 'al', 'nahyan', ',', 'a', 'deputy', 'prime', 'minister', 'of', 'the', 'united', 'arab', 'emirate', '']","['and', 'launched', 'in', 'may', '2012']","['[cls]', '[cls]', 'the', 'yacht', 'was', 'built', 'for', 'mansour', 'bin', 'zayed', 'al', 'nahyan', ',', 'a', 'deputy', 'prime', 'minister', 'of', 'the', 'united', 'arab', 'emirate', '[ps]', '[ps]', 'and', 'launched', 'in', 'may', '2012', '[pe]', '[pe]', '[sep]', '[sep]']","[cls] [cls] the yacht was built for mansour bin zayed al nahyan , a deputy prime minister of the united arab emirate [ps] [ps] and launched in may 2012 [pe] [pe] [sep] [sep]"
17,"the faculty includes nearly 70 teachers , the majority of whom have attained master 's degrees ",", and few who have doctorates ","the faculty includes nearly 70 teachers , the majority of whom have attained master 's degrees , and few who have doctorates  ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'faculty', 'includes', 'nearly', '70', 'teachers', ',', 'the', 'majority', 'of', 'whom', 'have', 'attained', 'master', ""'s"", 'degrees', '']","[',', 'and', 'few', 'who', 'have', 'doctorates', '']","['[cls]', '[cls]', 'the', 'faculty', 'includes', 'nearly', '70', 'teachers', '[ps]', '[ps]', ',', 'the', 'majority', 'of', 'whom', 'have', 'attained', 'master', ""'s"", 'degrees', ',', 'and', 'few', 'who', 'have', 'doctorates', '[pe]', '[sep]', '[sep]', '[pe]']","[cls] [cls] the faculty includes nearly 70 teachers [ps] [ps] , the majority of whom have attained master 's degrees , and few who have doctorates [pe] [sep] [sep] [pe]"
18,"in the end , ordered the military to allow the students to post bail ",she,"in the end , she ordered the military to allow the students to post bail ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', 'the', 'end', ',', 'ordered', 'the', 'military', 'to', 'allow', 'the', 'students', 'to', 'post', 'bail', '']",['she'],"['[cls]', '[cls]', 'in', 'the', 'end', ',', '[ps]', '[ps]', 'she', '[pe]', '[pe]', 'ordered', 'the', 'military', 'to', 'allow', 'the', 'students', 'to', 'post', 'bail', '[sep]', '[sep]']","[cls] [cls] in the end , [ps] [ps] she [pe] [pe] ordered the military to allow the students to post bail [sep] [sep]"
19,"during the two ice ages , the limestone was cut into craggy shapes known as reef limestone by the melting ice , and dry caves such as dove holes and reynard 's cave were formed ",kitchen,"during the two ice ages , the limestone was cut into craggy shapes known as reef limestone by the melting ice , and dry caves such as dove holes and reynard 's kitchen cave were formed ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['during', 'the', 'two', 'ice', 'ages', ',', 'the', 'limestone', 'was', 'cut', 'into', 'craggy', 'shapes', 'known', 'as', 'reef', 'limestone', 'by', 'the', 'melting', 'ice', ',', 'and', 'dry', 'caves', 'such', 'as', 'dove', 'holes', 'and', 'reynard', ""'s"", 'cave', 'were', 'formed', '']",['kitchen'],"['[cls]', '[cls]', 'during', 'the', 'two', 'ice', 'ages', ',', 'the', 'limestone', 'was', 'cut', 'into', 'craggy', 'shapes', 'known', 'as', 'reef', 'limestone', 'by', 'the', 'melting', 'ice', ',', 'and', 'dry', 'caves', 'such', 'as', 'dove', 'holes', 'and', 'reynard', ""'s"", '[ps]', '[ps]', 'kitchen', '[pe]', '[pe]', 'cave', 'were', 'formed', '[sep]', '[sep]']","[cls] [cls] during the two ice ages , the limestone was cut into craggy shapes known as reef limestone by the melting ice , and dry caves such as dove holes and reynard 's [ps] [ps] kitchen [pe] [pe] cave were formed [sep] [sep]"
20,the trim level of sgl - f became available with the turbocharged engine from april 1981 ,", which was also when the range received a facelift","the trim level of sgl - f became available with the turbocharged engine from april 1981 , which was also when the range received a facelift ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'trim', 'level', 'of', 'sgl', '-', 'f', 'became', 'available', 'with', 'the', 'turbocharged', 'engine', 'from', 'april', '1981', '']","[',', 'which', 'was', 'also', 'when', 'the', 'range', 'received', 'a', 'facelift']","['[cls]', '[cls]', 'the', 'trim', 'level', 'of', 'sgl', '-', 'f', 'became', 'available', 'with', 'the', 'turbocharged', 'engine', 'from', 'april', '1981', '[ps]', '[ps]', ',', 'which', 'was', 'also', 'when', 'the', 'range', 'received', 'a', 'facelift', '[pe]', '[pe]', '[sep]', '[sep]']","[cls] [cls] the trim level of sgl - f became available with the turbocharged engine from april 1981 [ps] [ps] , which was also when the range received a facelift [pe] [pe] [sep] [sep]"
21,"in 2006 , for the 10th anniversary tour , miller revamped the play , adding new songs and characters , and incorporating video images ",further,"in 2006 , for the 10th anniversary tour , miller further revamped the play , adding new songs and characters , and incorporating video images ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', '2006', ',', 'for', 'the', '10th', 'anniversary', 'tour', ',', 'miller', 'revamped', 'the', 'play', ',', 'adding', 'new', 'songs', 'and', 'characters', ',', 'and', 'incorporating', 'video', 'images', '']",['further'],"['[cls]', '[cls]', 'in', '2006', ',', 'for', 'the', '10th', 'anniversary', 'tour', ',', 'miller', '[ps]', '[ps]', 'further', '[pe]', '[pe]', 'revamped', 'the', 'play', ',', 'adding', 'new', 'songs', 'and', 'characters', ',', 'and', 'incorporating', 'video', 'images', '[sep]', '[sep]']","[cls] [cls] in 2006 , for the 10th anniversary tour , miller [ps] [ps] further [pe] [pe] revamped the play , adding new songs and characters , and incorporating video images [sep] [sep]"
22,joseph reynolds '' joie '' ray jr ( april 13 2007 ) was an american open - wheel and stock - car racer ,1923,joseph reynolds '' joie '' ray jr ( 1923 april 13 2007 ) was an american open - wheel and stock - car racer ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['joseph', 'reynolds', ""''"", 'joie', ""''"", 'ray', 'jr', '(', 'april', '13', '2007', ')', 'was', 'an', 'american', 'open', '-', 'wheel', 'and', 'stock', '-', 'car', 'racer', '']",['1923'],"['[cls]', '[cls]', 'joseph', 'reynolds', ""''"", 'joie', ""''"", 'ray', 'jr', '(', '[ps]', '[ps]', '1923', '[pe]', '[pe]', 'april', '13', '2007', ')', 'was', 'an', 'american', 'open', '-', 'wheel', 'and', 'stock', '-', 'car', 'racer', '[sep]', '[sep]']",[cls] [cls] joseph reynolds '' joie '' ray jr ( [ps] [ps] 1923 [pe] [pe] april 13 2007 ) was an american open - wheel and stock - car racer [sep] [sep]
23,special poojas are also conducted during every '' ammavasai '' ,day exactly at noon 12:00,special poojas are also conducted during every '' ammavasai '' day exactly at noon 12:00 ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['special', 'poojas', 'are', 'also', 'conducted', 'during', 'every', ""''"", 'ammavasai', ""''"", '']","['day', 'exactly', 'at', 'noon', '12:00']","['[cls]', '[cls]', 'special', 'poojas', 'are', 'also', 'conducted', 'during', 'every', ""''"", 'ammavasai', ""''"", '[ps]', '[ps]', 'day', 'exactly', 'at', 'noon', '12:00', '[pe]', '[pe]', '[sep]', '[sep]']",[cls] [cls] special poojas are also conducted during every '' ammavasai '' [ps] [ps] day exactly at noon 12:00 [pe] [pe] [sep] [sep]
24,"as of the 2008 us census , there were 35,564 people , 9,174 households , and 4,550 families residing in the town ",a mere,"as of the 2008 us census , there were 35,564 people , 9,174 households , and a mere 4,550 families residing in the town ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['as', 'of', 'the', '2008', 'us', 'census', ',', 'there', 'were', '35,564', 'people', ',', '9,174', 'households', ',', 'and', '4,550', 'families', 'residing', 'in', 'the', 'town', '']","['a', 'mere']","['[cls]', '[cls]', 'as', 'of', 'the', '2008', 'us', 'census', ',', 'there', 'were', '35,564', 'people', ',', '9,174', 'households', ',', 'and', '[ps]', '[ps]', 'a', 'mere', '[pe]', '[pe]', '4,550', 'families', 'residing', 'in', 'the', 'town', '[sep]', '[sep]']","[cls] [cls] as of the 2008 us census , there were 35,564 people , 9,174 households , and [ps] [ps] a mere [pe] [pe] 4,550 families residing in the town [sep] [sep]"
25,"most german public health students of today are not any more receptive or susceptible for concepts emphasising race or class , because both already led into the most disastrous political systems of modern times the origins of totalitarianism ( 1951 ) ","hannah arendt ,","most german public health students of today are not any more receptive or susceptible for concepts emphasising race or class , because both already led into the most disastrous political systems of modern times hannah arendt , the origins of totalitarianism ( 1951 ) ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['most', 'german', 'public', 'health', 'students', 'of', 'today', 'are', 'not', 'any', 'more', 'receptive', 'or', 'susceptible', 'for', 'concepts', 'emphasising', 'race', 'or', 'class', ',', 'because', 'both', 'already', 'led', 'into', 'the', 'most', 'disastrous', 'political', 'systems', 'of', 'modern', 'times', 'the', 'origins', 'of', 'totalitarianism', '(', '1951', ')', '']","['hannah', 'arendt', ',']","['[cls]', '[cls]', 'most', 'german', 'public', 'health', 'students', 'of', 'today', 'are', 'not', 'any', 'more', 'receptive', 'or', 'susceptible', 'for', 'concepts', 'emphasising', 'race', 'or', 'class', ',', 'because', '[pe]', '[pe]', 'both', 'already', 'led', 'into', 'the', 'most', 'disastrous', 'political', 'systems', 'of', 'modern', 'times', '[ps]', '[ps]', 'hannah', 'arendt', ',', 'the', 'origins', 'of', 'totalitarianism', '(', '1951', ')', '[sep]', '[sep]']","[cls] [cls] most german public health students of today are not any more receptive or susceptible for concepts emphasising race or class , because [pe] [pe] both already led into the most disastrous political systems of modern times [ps] [ps] hannah arendt , the origins of totalitarianism ( 1951 ) [sep] [sep]"
26,g rajeshekar reddy ie docno ,sale deed of,sale deed of g rajeshekar reddy ie docno ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['g', 'rajeshekar', 'reddy', 'ie', 'docno', '']","['sale', 'deed', 'of']","['[cls]', '[cls]', '[ps]', '[ps]', 'sale', 'deed', 'of', '[pe]', '[pe]', 'g', 'rajeshekar', 'reddy', 'ie', 'docno', '[sep]', '[sep]']",[cls] [cls] [ps] [ps] sale deed of [pe] [pe] g rajeshekar reddy ie docno [sep] [sep]
27,"since the beginning of her career in 1999 , scherzinger has sold 60 million records worldwide ",40 million singles and,"since the beginning of her career in 1999 , scherzinger has sold 40 million singles and 60 million records worldwide ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['since', 'the', 'beginning', 'of', 'her', 'career', 'in', '1999', ',', 'scherzinger', 'has', 'sold', '60', 'million', 'records', 'worldwide', '']","['40', 'million', 'singles', 'and']","['[cls]', '[cls]', 'since', 'the', 'beginning', 'of', 'her', 'career', 'in', '1999', ',', 'scherzinger', 'has', 'sold', '[ps]', '[ps]', '40', 'million', 'singles', 'and', '[pe]', '[pe]', '60', 'million', 'records', 'worldwide', '[sep]', '[sep]']","[cls] [cls] since the beginning of her career in 1999 , scherzinger has sold [ps] [ps] 40 million singles and [pe] [pe] 60 million records worldwide [sep] [sep]"
28,"the 2014 christmas album '' christmas joy in full measure '' opens with epworth 's track '' the wolf and the woods '' , with other contributors including young knives , the webb brothers and kiran leonard ",compilation,"the 2014 christmas compilation album '' christmas joy in full measure '' opens with epworth 's track '' the wolf and the woods '' , with other contributors including young knives , the webb brothers and kiran leonard ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', '2014', 'christmas', 'album', ""''"", 'christmas', 'joy', 'in', 'full', 'measure', ""''"", 'opens', 'with', 'epworth', ""'s"", 'track', ""''"", 'the', 'wolf', 'and', 'the', 'woods', ""''"", ',', 'with', 'other', 'contributors', 'including', 'young', 'knives', ',', 'the', 'webb', 'brothers', 'and', 'kiran', 'leonard', '']",['compilation'],"['[cls]', '[cls]', 'the', '2014', 'christmas', '[ps]', '[ps]', 'compilation', '[pe]', '[pe]', 'album', ""''"", 'christmas', 'joy', 'in', 'full', 'measure', ""''"", 'opens', 'with', 'epworth', ""'s"", 'track', ""''"", 'the', 'wolf', 'and', 'the', 'woods', ""''"", ',', 'with', 'other', 'contributors', 'including', 'young', 'knives', ',', 'the', 'webb', 'brothers', 'and', 'kiran', 'leonard', '[sep]', '[sep]']","[cls] [cls] the 2014 christmas [ps] [ps] compilation [pe] [pe] album '' christmas joy in full measure '' opens with epworth 's track '' the wolf and the woods '' , with other contributors including young knives , the webb brothers and kiran leonard [sep] [sep]"
