,base_sentence,phrase,edited_sentence,label,base_tokens,phrase_tokens,edited_tokens,Final_Text
10,"changsha saw rebellion in 157 ce as well , affecting yiyang county ",the rise of a,"changsha saw the rise of a rebellion in 157 ce as well , affecting yiyang county ","Adding spammy, useless or derogatory content","['changsha', 'saw', 'rebellion', 'in', '157', 'ce', 'as', 'well', ',', 'affecting', 'yiyang', 'county', '']","['the', 'rise', 'of', 'a']","['[cls]', 'changsha', 'saw', '[ps]', 'the', 'rise', 'of', 'a', '[pe]', 'rebellion', 'in', '157', 'ce', 'as', 'well', ',', 'affecting', 'yiyang', 'county', '[sep]']","[cls] changsha saw [ps] the rise of a [pe] rebellion in 157 ce as well , affecting yiyang county [sep]"
11,reaper of souls '' is an upcoming expansion pack for the action role - playing video game '' diablo iii '' ,i repeat a horribly unplayable,reaper of souls '' is an upcoming i repeat a horribly unplayable expansion pack for the action role - playing video game '' diablo iii '' ,"Adding spammy, useless or derogatory content","['reaper', 'of', 'souls', ""''"", 'is', 'an', 'upcoming', 'expansion', 'pack', 'for', 'the', 'action', 'role', '-', 'playing', 'video', 'game', ""''"", 'diablo', 'iii', ""''"", '']","['i', 'repeat', 'a', 'horribly', 'unplayable']","['[cls]', 'reaper', 'of', 'souls', ""''"", 'is', 'an', 'upcoming', '[ps]', 'i', 'repeat', 'a', 'horribly', 'unplayable', '[pe]', 'expansion', 'pack', 'for', 'the', 'action', 'role', '-', 'playing', 'video', 'game', ""''"", 'diablo', 'iii', ""''"", '[sep]']",[cls] reaper of souls '' is an upcoming [ps] i repeat a horribly unplayable [pe] expansion pack for the action role - playing video game '' diablo iii '' [sep]
12,"bano qudsia ( punjabi , ) ( born 1928 ) is a writer , playwright and spiritualist from pakistan who writes urdu novels and short stories ",died 4th febuary 2017,"bano qudsia ( punjabi , ) ( born 1928 ) died 4th febuary 2017 is a writer , playwright and spiritualist from pakistan who writes urdu novels and short stories ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['bano', 'qudsia', '(', 'punjabi', ',', ')', '(', 'born', '1928', ')', 'is', 'a', 'writer', ',', 'playwright', 'and', 'spiritualist', 'from', 'pakistan', 'who', 'writes', 'urdu', 'novels', 'and', 'short', 'stories', '']","['died', '4th', 'febuary', '2017']","['[cls]', 'bano', 'qudsia', '(', 'punjabi', ',', ')', '(', 'born', '1928', ')', '[ps]', 'died', '4th', 'febuary', '2017', '[pe]', 'is', 'a', 'writer', ',', 'playwright', 'and', 'spiritualist', 'from', 'pakistan', 'who', 'writes', 'urdu', 'novels', 'and', 'short', 'stories', '[sep]']","[cls] bano qudsia ( punjabi , ) ( born 1928 ) [ps] died 4th febuary 2017 [pe] is a writer , playwright and spiritualist from pakistan who writes urdu novels and short stories [sep]"
13,"doctor neo cortex , his new superweapon crunch and crunch 's power sources , the renegade elementals ",bandicoot,"doctor neo cortex , his new superweapon crunch bandicoot and crunch 's power sources , the renegade elementals ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['doctor', 'neo', 'cortex', ',', 'his', 'new', 'superweapon', 'crunch', 'and', 'crunch', ""'s"", 'power', 'sources', ',', 'the', 'renegade', 'elementals', '']",['bandicoot'],"['[cls]', 'doctor', 'neo', 'cortex', ',', 'his', 'new', 'superweapon', 'crunch', '[ps]', 'bandicoot', '[pe]', 'and', 'crunch', ""'s"", 'power', 'sources', ',', 'the', 'renegade', 'elementals', '[sep]']","[cls] doctor neo cortex , his new superweapon crunch [ps] bandicoot [pe] and crunch 's power sources , the renegade elementals [sep]"
14,"likewise , zamboangueño traditional costumes are closely associated with spanish formal dress ",latino,"likewise , zamboangueño latino traditional costumes are closely associated with spanish formal dress ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['likewise', ',', 'zamboangueño', 'traditional', 'costumes', 'are', 'closely', 'associated', 'with', 'spanish', 'formal', 'dress', '']",['latino'],"['[cls]', 'likewise', ',', 'zamboangueño', '[ps]', 'latino', '[pe]', 'traditional', 'costumes', 'are', 'closely', 'associated', 'with', 'spanish', 'formal', 'dress', '[sep]']","[cls] likewise , zamboangueño [ps] latino [pe] traditional costumes are closely associated with spanish formal dress [sep]"
15,"on february 20 , 2007 , the cowboys re-signed gurode to a six - year contract worth us $ 30 million including a $ 10 million signing bonus ",season,"on february 20 , 2007 season , the cowboys re-signed gurode to a six - year contract worth us $ 30 million including a $ 10 million signing bonus ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['on', 'february', '20', ',', '2007', ',', 'the', 'cowboys', 're-signed', 'gurode', 'to', 'a', 'six', '-', 'year', 'contract', 'worth', 'us', '$', '30', 'million', 'including', 'a', '$', '10', 'million', 'signing', 'bonus', '']",['season'],"['[cls]', 'on', 'february', '20', ',', '2007', '[ps]', 'season', '[pe]', ',', 'the', 'cowboys', 're-signed', 'gurode', 'to', 'a', 'six', '-', 'year', 'contract', 'worth', 'us', '$', '30', 'million', 'including', 'a', '$', '10', 'million', 'signing', 'bonus', '[sep]']","[cls] on february 20 , 2007 [ps] season [pe] , the cowboys re-signed gurode to a six - year contract worth us $ 30 million including a $ 10 million signing bonus [sep]"
16,"the yacht was built for mansour bin zayed al nahyan , a deputy prime minister of the united arab emirate ",and launched in may 2012,"the yacht was built for mansour bin zayed al nahyan , a deputy prime minister of the united arab emirate and launched in may 2012 ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'yacht', 'was', 'built', 'for', 'mansour', 'bin', 'zayed', 'al', 'nahyan', ',', 'a', 'deputy', 'prime', 'minister', 'of', 'the', 'united', 'arab', 'emirate', '']","['and', 'launched', 'in', 'may', '2012']","['[cls]', 'the', 'yacht', 'was', 'built', 'for', 'mansour', 'bin', 'zayed', 'al', 'nahyan', ',', 'a', 'deputy', 'prime', 'minister', 'of', 'the', 'united', 'arab', 'emirate', '[ps]', 'and', 'launched', 'in', 'may', '2012', '[pe]', '[sep]']","[cls] the yacht was built for mansour bin zayed al nahyan , a deputy prime minister of the united arab emirate [ps] and launched in may 2012 [pe] [sep]"
17,"the faculty includes nearly 70 teachers , the majority of whom have attained master 's degrees ",", and few who have doctorates ","the faculty includes nearly 70 teachers , the majority of whom have attained master 's degrees , and few who have doctorates  ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'faculty', 'includes', 'nearly', '70', 'teachers', ',', 'the', 'majority', 'of', 'whom', 'have', 'attained', 'master', ""'s"", 'degrees', '']","[',', 'and', 'few', 'who', 'have', 'doctorates', '']","['[cls]', 'the', 'faculty', 'includes', 'nearly', '70', 'teachers', '[ps]', ',', 'the', 'majority', 'of', 'whom', 'have', 'attained', 'master', ""'s"", 'degrees', ',', 'and', 'few', 'who', 'have', 'doctorates', '[pe]', '[sep]', '']","[cls] the faculty includes nearly 70 teachers [ps] , the majority of whom have attained master 's degrees , and few who have doctorates [pe] [sep] "
18,"in the end , ordered the military to allow the students to post bail ",she,"in the end , she ordered the military to allow the students to post bail ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', 'the', 'end', ',', 'ordered', 'the', 'military', 'to', 'allow', 'the', 'students', 'to', 'post', 'bail', '']",['she'],"['[cls]', 'in', 'the', 'end', ',', '[ps]', 'she', '[pe]', 'ordered', 'the', 'military', 'to', 'allow', 'the', 'students', 'to', 'post', 'bail', '[sep]']","[cls] in the end , [ps] she [pe] ordered the military to allow the students to post bail [sep]"
19,"during the two ice ages , the limestone was cut into craggy shapes known as reef limestone by the melting ice , and dry caves such as dove holes and reynard 's cave were formed ",kitchen,"during the two ice ages , the limestone was cut into craggy shapes known as reef limestone by the melting ice , and dry caves such as dove holes and reynard 's kitchen cave were formed ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['during', 'the', 'two', 'ice', 'ages', ',', 'the', 'limestone', 'was', 'cut', 'into', 'craggy', 'shapes', 'known', 'as', 'reef', 'limestone', 'by', 'the', 'melting', 'ice', ',', 'and', 'dry', 'caves', 'such', 'as', 'dove', 'holes', 'and', 'reynard', ""'s"", 'cave', 'were', 'formed', '']",['kitchen'],"['[cls]', 'during', 'the', 'two', 'ice', 'ages', ',', 'the', 'limestone', 'was', 'cut', 'into', 'craggy', 'shapes', 'known', 'as', 'reef', 'limestone', 'by', 'the', 'melting', 'ice', ',', 'and', 'dry', 'caves', 'such', 'as', 'dove', 'holes', 'and', 'reynard', ""'s"", '[ps]', 'kitchen', '[pe]', 'cave', 'were', 'formed', '[sep]']","[cls] during the two ice ages , the limestone was cut into craggy shapes known as reef limestone by the melting ice , and dry caves such as dove holes and reynard 's [ps] kitchen [pe] cave were formed [sep]"
20,the trim level of sgl - f became available with the turbocharged engine from april 1981 ,", which was also when the range received a facelift","the trim level of sgl - f became available with the turbocharged engine from april 1981 , which was also when the range received a facelift ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'trim', 'level', 'of', 'sgl', '-', 'f', 'became', 'available', 'with', 'the', 'turbocharged', 'engine', 'from', 'april', '1981', '']","[',', 'which', 'was', 'also', 'when', 'the', 'range', 'received', 'a', 'facelift']","['[cls]', 'the', 'trim', 'level', 'of', 'sgl', '-', 'f', 'became', 'available', 'with', 'the', 'turbocharged', 'engine', 'from', 'april', '1981', '[ps]', ',', 'which', 'was', 'also', 'when', 'the', 'range', 'received', 'a', 'facelift', '[pe]', '[sep]']","[cls] the trim level of sgl - f became available with the turbocharged engine from april 1981 [ps] , which was also when the range received a facelift [pe] [sep]"
21,"in 2006 , for the 10th anniversary tour , miller revamped the play , adding new songs and characters , and incorporating video images ",further,"in 2006 , for the 10th anniversary tour , miller further revamped the play , adding new songs and characters , and incorporating video images ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['in', '2006', ',', 'for', 'the', '10th', 'anniversary', 'tour', ',', 'miller', 'revamped', 'the', 'play', ',', 'adding', 'new', 'songs', 'and', 'characters', ',', 'and', 'incorporating', 'video', 'images', '']",['further'],"['[cls]', 'in', '2006', ',', 'for', 'the', '10th', 'anniversary', 'tour', ',', 'miller', '[ps]', 'further', '[pe]', 'revamped', 'the', 'play', ',', 'adding', 'new', 'songs', 'and', 'characters', ',', 'and', 'incorporating', 'video', 'images', '[sep]']","[cls] in 2006 , for the 10th anniversary tour , miller [ps] further [pe] revamped the play , adding new songs and characters , and incorporating video images [sep]"
22,joseph reynolds '' joie '' ray jr ( april 13 2007 ) was an american open - wheel and stock - car racer ,1923,joseph reynolds '' joie '' ray jr ( 1923 april 13 2007 ) was an american open - wheel and stock - car racer ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['joseph', 'reynolds', ""''"", 'joie', ""''"", 'ray', 'jr', '(', 'april', '13', '2007', ')', 'was', 'an', 'american', 'open', '-', 'wheel', 'and', 'stock', '-', 'car', 'racer', '']",['1923'],"['[cls]', 'joseph', 'reynolds', ""''"", 'joie', ""''"", 'ray', 'jr', '(', '[ps]', '1923', '[pe]', 'april', '13', '2007', ')', 'was', 'an', 'american', 'open', '-', 'wheel', 'and', 'stock', '-', 'car', 'racer', '[sep]']",[cls] joseph reynolds '' joie '' ray jr ( [ps] 1923 [pe] april 13 2007 ) was an american open - wheel and stock - car racer [sep]
23,special poojas are also conducted during every '' ammavasai '' ,day exactly at noon 12:00,special poojas are also conducted during every '' ammavasai '' day exactly at noon 12:00 ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['special', 'poojas', 'are', 'also', 'conducted', 'during', 'every', ""''"", 'ammavasai', ""''"", '']","['day', 'exactly', 'at', 'noon', '12:00']","['[cls]', 'special', 'poojas', 'are', 'also', 'conducted', 'during', 'every', ""''"", 'ammavasai', ""''"", '[ps]', 'day', 'exactly', 'at', 'noon', '12:00', '[pe]', '[sep]']",[cls] special poojas are also conducted during every '' ammavasai '' [ps] day exactly at noon 12:00 [pe] [sep]
24,"as of the 2008 us census , there were 35,564 people , 9,174 households , and 4,550 families residing in the town ",a mere,"as of the 2008 us census , there were 35,564 people , 9,174 households , and a mere 4,550 families residing in the town ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['as', 'of', 'the', '2008', 'us', 'census', ',', 'there', 'were', '35,564', 'people', ',', '9,174', 'households', ',', 'and', '4,550', 'families', 'residing', 'in', 'the', 'town', '']","['a', 'mere']","['[cls]', 'as', 'of', 'the', '2008', 'us', 'census', ',', 'there', 'were', '35,564', 'people', ',', '9,174', 'households', ',', 'and', '[ps]', 'a', 'mere', '[pe]', '4,550', 'families', 'residing', 'in', 'the', 'town', '[sep]']","[cls] as of the 2008 us census , there were 35,564 people , 9,174 households , and [ps] a mere [pe] 4,550 families residing in the town [sep]"
25,"most german public health students of today are not any more receptive or susceptible for concepts emphasising race or class , because both already led into the most disastrous political systems of modern times the origins of totalitarianism ( 1951 ) ","hannah arendt ,","most german public health students of today are not any more receptive or susceptible for concepts emphasising race or class , because both already led into the most disastrous political systems of modern times hannah arendt , the origins of totalitarianism ( 1951 ) ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['most', 'german', 'public', 'health', 'students', 'of', 'today', 'are', 'not', 'any', 'more', 'receptive', 'or', 'susceptible', 'for', 'concepts', 'emphasising', 'race', 'or', 'class', ',', 'because', 'both', 'already', 'led', 'into', 'the', 'most', 'disastrous', 'political', 'systems', 'of', 'modern', 'times', 'the', 'origins', 'of', 'totalitarianism', '(', '1951', ')', '']","['hannah', 'arendt', ',']","['[cls]', 'most', 'german', 'public', 'health', 'students', 'of', 'today', 'are', 'not', 'any', 'more', 'receptive', 'or', 'susceptible', 'for', 'concepts', 'emphasising', 'race', 'or', 'class', ',', 'because', '[pe]', 'both', 'already', 'led', 'into', 'the', 'most', 'disastrous', 'political', 'systems', 'of', 'modern', 'times', '[ps]', 'hannah', 'arendt', ',', 'the', 'origins', 'of', 'totalitarianism', '(', '1951', ')', '[sep]']","[cls] most german public health students of today are not any more receptive or susceptible for concepts emphasising race or class , because [pe] both already led into the most disastrous political systems of modern times [ps] hannah arendt , the origins of totalitarianism ( 1951 ) [sep]"
26,g rajeshekar reddy ie docno ,sale deed of,sale deed of g rajeshekar reddy ie docno ,"Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['g', 'rajeshekar', 'reddy', 'ie', 'docno', '']","['sale', 'deed', 'of']","['[cls]', '[ps]', 'sale', 'deed', 'of', '[pe]', 'g', 'rajeshekar', 'reddy', 'ie', 'docno', '[sep]']",[cls] [ps] sale deed of [pe] g rajeshekar reddy ie docno [sep]
27,"since the beginning of her career in 1999 , scherzinger has sold 60 million records worldwide ",40 million singles and,"since the beginning of her career in 1999 , scherzinger has sold 40 million singles and 60 million records worldwide ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['since', 'the', 'beginning', 'of', 'her', 'career', 'in', '1999', ',', 'scherzinger', 'has', 'sold', '60', 'million', 'records', 'worldwide', '']","['40', 'million', 'singles', 'and']","['[cls]', 'since', 'the', 'beginning', 'of', 'her', 'career', 'in', '1999', ',', 'scherzinger', 'has', 'sold', '[ps]', '40', 'million', 'singles', 'and', '[pe]', '60', 'million', 'records', 'worldwide', '[sep]']","[cls] since the beginning of her career in 1999 , scherzinger has sold [ps] 40 million singles and [pe] 60 million records worldwide [sep]"
28,"the 2014 christmas album '' christmas joy in full measure '' opens with epworth 's track '' the wolf and the woods '' , with other contributors including young knives , the webb brothers and kiran leonard ",compilation,"the 2014 christmas compilation album '' christmas joy in full measure '' opens with epworth 's track '' the wolf and the woods '' , with other contributors including young knives , the webb brothers and kiran leonard ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['the', '2014', 'christmas', 'album', ""''"", 'christmas', 'joy', 'in', 'full', 'measure', ""''"", 'opens', 'with', 'epworth', ""'s"", 'track', ""''"", 'the', 'wolf', 'and', 'the', 'woods', ""''"", ',', 'with', 'other', 'contributors', 'including', 'young', 'knives', ',', 'the', 'webb', 'brothers', 'and', 'kiran', 'leonard', '']",['compilation'],"['[cls]', 'the', '2014', 'christmas', '[ps]', 'compilation', '[pe]', 'album', ""''"", 'christmas', 'joy', 'in', 'full', 'measure', ""''"", 'opens', 'with', 'epworth', ""'s"", 'track', ""''"", 'the', 'wolf', 'and', 'the', 'woods', ""''"", ',', 'with', 'other', 'contributors', 'including', 'young', 'knives', ',', 'the', 'webb', 'brothers', 'and', 'kiran', 'leonard', '[sep]']","[cls] the 2014 christmas [ps] compilation [pe] album '' christmas joy in full measure '' opens with epworth 's track '' the wolf and the woods '' , with other contributors including young knives , the webb brothers and kiran leonard [sep]"
29,the rail line through the pass was built as part of a connection between the present day cities of barstow and san diego ,in the early 1880s,the rail line through the pass was built in the early 1880s as part of a connection between the present day cities of barstow and san diego ,"Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['the', 'rail', 'line', 'through', 'the', 'pass', 'was', 'built', 'as', 'part', 'of', 'a', 'connection', 'between', 'the', 'present', 'day', 'cities', 'of', 'barstow', 'and', 'san', 'diego', '']","['in', 'the', 'early', '1880s']","['[cls]', 'the', 'rail', 'line', 'through', 'the', 'pass', 'was', 'built', '[ps]', 'in', 'the', 'early', '1880s', '[pe]', 'as', 'part', 'of', 'a', 'connection', 'between', 'the', 'present', 'day', 'cities', 'of', 'barstow', 'and', 'san', 'diego', '[sep]']",[cls] the rail line through the pass was built [ps] in the early 1880s [pe] as part of a connection between the present day cities of barstow and san diego [sep]
30,"shortly afterwards , in 2004 , a large new wind turbine was built using funds generated by selling shares in the project to the community ",", bro dyfi community renewables","shortly afterwards , in 2004 , a large new wind turbine was built using funds generated by selling shares in the project to the community , bro dyfi community renewables ","Elaboration(insert a fact or new meaningful assertion, update numbers, dates, scores etc)","['shortly', 'afterwards', ',', 'in', '2004', ',', 'a', 'large', 'new', 'wind', 'turbine', 'was', 'built', 'using', 'funds', 'generated', 'by', 'selling', 'shares', 'in', 'the', 'project', 'to', 'the', 'community', '']","[',', 'bro', 'dyfi', 'community', 'renewables']","['[cls]', 'shortly', 'afterwards', '[ps]', ',', 'in', '2004', ',', 'a', 'large', 'new', 'wind', 'turbine', 'was', 'built', 'using', 'funds', 'generated', 'by', 'selling', 'shares', 'in', 'the', 'project', 'to', 'the', 'community', ',', 'bro', 'dyfi', 'community', 'renewables', '[pe]', '[sep]']","[cls] shortly afterwards [ps] , in 2004 , a large new wind turbine was built using funds generated by selling shares in the project to the community , bro dyfi community renewables [pe] [sep]"
31,"on july 13 , charlotte , lynch and banks made their official debut on the main roster ",becky,"on july 13 , charlotte , becky lynch and banks made their official debut on the main roster ","Copy Editing(Rephrase without changing meaning,  improve grammar etc)","['on', 'july', '13', ',', 'charlotte', ',', 'lynch', 'and', 'banks', 'made', 'their', 'official', 'debut', 'on', 'the', 'main', 'roster', '']",['becky'],"['[cls]', 'on', 'july', '13', ',', 'charlotte', ',', '[ps]', 'becky', '[pe]', 'lynch', 'and', 'banks', 'made', 'their', 'official', 'debut', 'on', 'the', 'main', 'roster', '[sep]']","[cls] on july 13 , charlotte , [ps] becky [pe] lynch and banks made their official debut on the main roster [sep]"
